序号,审查域,先决条件/交付物,最低证据等级,责任方,完成时点,状态,缺口/例外,转绿条件
1,资产身份,IMO号/船体号/船名/呼号/MMSI/证书一致,A1,船东/验船师,签约前,待核验,,冲突全部关闭
2,登记所有权,船旗国现行所有权摘录,A1,登记代理,放款前,待核验,,登记所有人与卖方处分权一致
3,连续权属,历次Bill of Sale/付款/交付/授权,A1,卖方/律师,签约前,待核验,,权属链连续
4,抵押与负担,抵押登记/无负担或注销同意,A1,登记代理/律师,放款前,待核验,,在先负担清除且新抵押生效
5,光船登记,原始登记/光租登记/停旗效力,A1,跨境律师,放款前,待核验,,船旗国法律结论明确
6,优先权与扣押,船员工资/救助/港费/税费/扣押查询,A1/B,海事律师,交割前,待核验,,高顺位债权结清或可控
7,新造船合同,合同价/节点/规格/变更/延期/取消,A1,船厂/监造,签约前,待核验,,价格与工期风险可控
8,退款保函,开立行/金额/减额/索赔/转让/到期,A1,开立行/律师,付款前,待核验,,覆盖全部预付款风险
9,交割闭环,付款/交付/登记/抵押/租赁/保险同步,A1,交易各方,交割日,待核验,,同日或托管闭环
10,船级,入级状态/逾期检验/条件/备忘录,B,船级社,放款前,待核验,,无暂停撤销和重大未结事项
11,法定证书,SOLAS/MARPOL/ISM/ISPS/MLC等,A1/B,船旗国/认可组织,放款前,待核验,,全部适用证书有效
12,PSC,缺陷/滞留/禁入及根因整改,A1/A2,管理人,放款前,待核验,,重大缺陷关闭
13,环保,CII/EEXI/SEEMP/BWM/IHM及改造计划,A1/B,管理人/技术顾问,审批前,待核验,,CAPEX与停租进入模型
14,保险,P&I/船壳机器/战争/污染/残骸/MLC,B,保险经纪/P&I,放款前,待核验,,被保险人与抵押权人安排匹配
15,制裁,船舶/所有人/UBO/管理人/承租人/货物/港口,A1,合规,交割前,待核验,,无禁止性命中
16,AIS与运营,AIS异常/STS/换旗/高风险航线交叉核验,B,合规/管理人,交割前,待核验,,异常有底层单证解释
17,租约,期租/航租/光租/COA及对手付款能力,A1/B,合同律师/风控,审批前,待核验,,租约可执行且收入无重复
18,技术状态,主机/辅机/坞修/特检/事故/维修,B,验船师,审批前,待核验,,事件时点和成本进入模型
19,估值,市场价值/有租约价值/拆船净值,B,估值师,放款前,待核验,,估值与船龄状态航区匹配
20,退出路径,终止/扣押/保管/拍卖/清偿/转旗/拆解,A1/B,海事律师/估值师,审批前,待核验,,净处置路径可执行
21,财务模型,TCE/OPEX/坞修/CFADS/DSCR/LLCR/压力,A1/B,风控,审批前,待核验,,模型验证通过且无硬旗标
